F,Obj_ID,dist1_mod,dist2_mod,YawDiff1_mod,YawDiff2_mod,speed_SGF,yawAngle_axis2,acc_SGF
38788,112x_112x_1116_40,99,99,0,0,1.851608101,-3.070059132,-0.889602583
66094,142x_1119_38,4.265085861,11.05057291,-0.450363842,-3.239962904,1.851671065,-3.128025607,0.754815743
66463,142x_1115_201,2.565251559,5.225333883,-0.292054487,-0.162380576,1.851809395,-3.128876157,0.520615658
26607,122x_1113_161,99,99,0,0,1.851944123,2.982509264,1.0010143
66464,142x_1115_201,2.546025738,5.253345533,-0.203907139,-0.405760428,1.852258804,-3.084635236,1.495906203
2843,152x_1111_193,7.037774993,7.583721661,-6.028159599,-0.80643085,1.852342563,-3.137661821,-0.583683906
94990,112x_112x_1115_54,4.132619523,99,0.058085815,0,1.85234871,2.993222434,-2.325376742
2824,152x_1111_193,6.548943742,7.261845186,-0.073296708,-6.114464671,1.852460899,-3.048092483,0.287364216
2820,152x_1111_193,6.594207528,6.96942864,-0.063863634,-5.899434235,1.852486191,-2.990007023,-0.145438152
38777,112x_112x_1116_40,4.311481315,99,-0.059673433,0,1.852967608,-3.074702746,-0.293236229
65044,161x_1111_23,4.076469487,99,0.234341597,0,1.854056792,-0.022448661,-0.419523548
38781,112x_112x_1116_40,99,99,0,0,1.854134525,-3.083397949,0.427508274
69075,182x_1111_88,5.418250868,11.45077412,0.005330964,-2.524144037,1.854195124,-2.659845035,0.443336509
66421,142x_1115_201,3.091997124,6.810612955,-0.299779164,5.024982124,1.854448067,2.823277075,-2.669113617
20278,142x_1111_186,5.875114181,9.897459825,6.203874871,5.72942942,1.854467162,3.128130164,0.587591875
61891,122x_1115_85,7.281301615,99,0.193867304,0,1.854540097,0.332142007,3.797329749
95034,112x_112x_1115_54,3.553718113,99,-0.037283339,0,1.854653966,-2.901391636,1.079390837
104021,122x_1117_86,99,99,0,0,1.854693952,3.048027975,0.197199719
37520,142x_1113_81,3.010106831,3.945390813,0.051145769,-0.233740692,1.855205515,-0.106694632,-3.92117342
46464,112x_112x_1113_103,2.6820615,4.348970798,-0.015660607,0.099688307,1.855265868,0.064096628,-2.374996064
80171,162x_1111_106,4.990901157,99,-0.940224149,0,1.855629377,0.14015334,1.975089212
