ID,X,Y,F,VX,VY,Obj,V,V_kph,V_mps,VX_mps,VY_mps,comp,type,Obj_ID,X_SGF,Y_SGF,V_mps_corrected,speed_SGF,VX_mps_corrected,speed_x_SGF,VY_mps_corrected,speed_y_SGF,acc_inst,acc_inst_x,acc_inst_y,yawAngle,acc_SGF,acc_SGF_x,acc_SGF_y,yawAngle_SGF,yawRate,yawRate_SGF,jerk,jerk_SGF,X_axis2_SGF,Y_axis2_SGF,deltaX,deltaY,quarter,yawAngle_axis2
61,28.8,46.01,15813,0.04208,-0.04706,165,0.063129787,6.811198973,1.891999715,1.2611376,-1.4103882,1111,p,1111_165,28.80124887,46.00961991,1.891999715,1.939174072,0.04208,0.041654472,-0.04706,-0.047405964,3.469978068,0.200122302,-0.001064003,-0.871830017,3.497687757,0.201112513,0.000591271,-0.869551422,0.83963944,1.042988511,9.199166354,9.871736,53.1032418,11.24467745,0.004988821,0.004988821,1,0.785398163
62,28.88,45.96,15814,0.05369,-0.04758,165,0.071738919,7.740055449,2.150015403,1.6090893,-1.4259726,1111,p,1111_165,28.86011765,45.96287783,2.150015403,2.054955789,0.05369,0.048331893,-0.04758,-0.047441466,2.361846227,0.141760216,0.007437984,-0.899721815,2.26741502,0.143865761,0.01150679,-0.904475499,0.523861158,0.525285714,18.45409106,18.91064661,53.1105143,11.16986123,0.007272496,0.007272496,1,0.785398163
63,28.93,45.92,15815,0.05777,-0.0477,165,0.074917708,8.0830213,2.245283694,1.7313669,-1.429569,1111,p,1111_165,28.9181448,45.91710407,2.245283694,2.133762804,0.05777,0.053061964,-0.0477,-0.047193285,0.39678997,0.065778048,0.029935826,-0.902901449,0.498410851,0.062010591,0.025091107,-0.916725853,0.18375531,-0.004549696,26.53506253,25.79734363,53.11789867,11.09632309,0.007384369,0.007384369,1,0.785398163
64,28.98,45.87,15816,0.06298,-0.04733,165,0.078782037,8.499951499,2.361097639,1.8875106,-1.4184801,1111,p,1111_165,28.97091403,45.87404525,2.361097639,2.147002375,0.06298,0.05525676,-0.04733,-0.046194425,-1.179748858,-0.018748473,0.036329336,-0.886385028,-1.426375973,-0.025982913,0.039369928,-0.890215632,-0.397653325,-0.477058951,28.87180237,28.28473232,53.12358337,11.02845308,0.0056847,0.0056847,1,0.785398163
65,29.04,45.82,15817,0.06237,-0.04769,165,0.078513394,8.47096708,2.353046411,1.8692289,-1.4292693,1111,p,1111_165,29.0179819,45.83267873,2.353046411,2.107638049,0.06237,0.054631186,-0.04769,-0.044982235,-2.870440211,-0.096648504,0.046097928,-0.849778979,-3.170253456,-0.10644928,0.049926349,-0.828553925,-0.924925597,-0.857386339,26.15816224,25.91578031,53.12652476,10.96585978,0.00294139,0.00294139,1,0.785398163
66,29.07,45.79,15818,0.0532,-0.04459,165,0.069415474,7.489374375,2.080381771,1.594404,-1.3363623,1111,p,1111_165,29.05749321,45.79330317,2.080381771,2.011860932,0.0532,0.051406344,-0.04459,-0.0434441,-4.677379182,-0.178008239,0.058717061,-0.787118937,-4.513183793,-0.168110586,0.056221788,-0.750294195,-1.173895947,-1.112179842,20.14395506,18.50185547,53.12564888,10.91008513,-0.000875873,-0.000875873,3,-2.35619449
67,29.09,45.76,15819,0.04361,-0.04156,165,0.060241727,6.499600435,1.805444565,1.3069917,-1.2455532,1111,p,1111_165,29.08685973,45.75621719,1.805444565,1.855792224,0.04361,0.045466796,-0.04156,-0.041484905,-5.58586252,-0.218420004,0.058866504,-0.669751441,-5.096960021,-0.198708356,0.054253339,-0.667145939,-1.247223848,-1.200971005,8.756643413,6.926240851,53.11937257,10.86319835,-0.006276312,-0.006276312,3,-2.35619449
68,29.11,45.72,15820,0.03709,-0.03931,165,0.05404576,5.831105164,1.619751434,1.1115873,-1.1781207,1111,p,1111_165,29.10885068,45.72042534,1.619751434,1.669410424,0.03709,0.038178842,-0.03931,-0.039520724,-4.904113312,-0.198231073,0.041269097,-0.550949316,-4.668927625,-0.1898897,0.041196059,-0.594785403,-1.085408041,-1.068768574,-6.420485934,-6.318166479,53.10890348,10.82251596,-0.010469087,-0.010469087,3,-2.35619449
69,29.13,45.68,15821,0.02997,-0.03751,165,0.048012509,5.180165598,1.438934888,0.8982009,-1.1241747,1111,p,1111_165,29.12897738,45.68363801,1.438934888,1.505776347,0.02997,0.031564525,-0.03751,-0.03814371,-3.428477337,-0.144872539,0.021883524,-0.500621287,-3.360763714,-0.147675242,0.018967463,-0.542916947,-0.778026838,-0.730590855,-19.62245867,-17.8952858,53.09642327,10.78248303,-0.01248021,-0.01248021,3,-2.35619449
70,29.14,45.65,15822,0.02061,-0.0343,165,0.040015773,4.317381796,1.199272721,0.6176817,-1.027971,1111,p,1111_165,29.15231674,45.64495023,1.199272721,1.391379372,0.02061,0.026730606,-0.0343,-0.037413529,-1.587708058,-0.085182877,-0.007382926,-0.542824002,-1.559536908,-0.085191908,-0.007221012,-0.51987353,-0.345651256,-0.301659669,-27.01840208,-25.54901774,53.08480781,10.73881895,-0.011615465,-0.011615465,3,-2.35619449
